.,areaID,. http://basicURL,site,. site name 1,. site name 2,. state province ...,*. main category,. activeURL
poc,356,http://poconos.craigslist.org,poconos,poconos,poconos,Pennsylvania,*US*,poconos.craigslist.org
rea,278,http://reading.craigslist.org,reading,reading,reading,Pennsylvania,*US*,reading.craigslist.org
avp,276,http://scranton.craigslist.org,scranton,scranton / wilkes-barre,scranton / wilkes-barre,Pennsylvania,*US*,scranton.craigslist.org
psu,277,http://pennstate.craigslist.org,pennstate,state college,state college,Pennsylvania,*US*,pennstate.craigslist.org
wpt,463,http://williamsport.craigslist.org,williamsport,williamsport,williamsport,Pennsylvania,*US*,williamsport.craigslist.org
yrk,357,http://york.craigslist.org,york,york,"york, PA",Pennsylvania,*US*,york.craigslist.org
prv,38,http://providence.craigslist.org,providence,rhode island,rhode island,Rhode Island,*US*,providence.craigslist.org
chs,128,http://charleston.craigslist.org,charleston,charleston,"charleston, SC",South Carolina,*US*,charleston.craigslist.org
cae,101,http://columbia.craigslist.org,columbia,columbia,"columbia, SC",South Carolina,*US*,columbia.craigslist.org
flo,464,http://florencesc.craigslist.org,florencesc,florence,"florence, SC",South Carolina,*US*,florencesc.craigslist.org
gsp,253,http://greenville.craigslist.org,greenville,greenville / upstate,greenville / upstate,South Carolina,*US*,greenville.craigslist.org
hhi,353,http://hiltonhead.craigslist.org,hiltonhead,hilton head,hilton head,South Carolina,*US*,hiltonhead.craigslist.org
myr,254,http://myrtlebeach.craigslist.org,myrtlebeach,myrtle beach,myrtle beach,South Carolina,*US*,myrtlebeach.craigslist.org
abr,682,http://nesd.craigslist.org,nesd,northeast SD,northeast SD,South Dakota,*US*,nesd.craigslist.org
csd,681,http://csd.craigslist.org,csd,pierre / central SD,pierre / central SD,South Dakota,*US*,csd.craigslist.org
rap,680,http://rapidcity.craigslist.org,rapidcity,rapid city / west SD,rapid city / west SD,South Dakota,*US*,rapidcity.craigslist.org
fsd,679,http://siouxfalls.craigslist.org,siouxfalls,sioux falls / SE SD,sioux falls / SE SD,South Dakota,*US*,siouxfalls.craigslist.org
sdk,195,http://sd.craigslist.org,sd,south dakota,south dakota,South Dakota,*US*,sd.craigslist.org
cht,220,http://chattanooga.craigslist.org,chattanooga,chattanooga,chattanooga,Tennessee,*US*,chattanooga.craigslist.org
ckv,465,http://clarksville.craigslist.org,clarksville,clarksville,"clarksville, TN",Tennessee,*US*,clarksville.craigslist.org
coo,670,http://cookeville.craigslist.org,cookeville,cookeville,cookeville,Tennessee,*US*,cookeville.craigslist.org
jxt,558,http://jacksontn.craigslist.org,jacksontn,jackson ,"jackson, TN",Tennessee,*US*,jacksontn.craigslist.org
knx,202,http://knoxville.craigslist.org,knoxville,knoxville,knoxville,Tennessee,*US*,knoxville.craigslist.org
mem,46,http://memphis.craigslist.org,memphis,memphis,"memphis, TN",Tennessee,*US*,memphis.craigslist.org
nsh,32,http://nashville.craigslist.org,nashville,nashville,nashville,Tennessee,*US*,nashville.craigslist.org
tri,323,http://tricities.craigslist.org,tricities,tri-cities,"tri-cities, TN",Tennessee,*US*,tricities.craigslist.org
gum,245,http://micronesia.craigslist.org,micronesia,guam-micronesia,guam-micronesia,Territories    ,*US*,micronesia.craigslist.org
pri,180,http://puertorico.craigslist.org,puertorico,puerto rico,puerto rico,Territories    ,*US*,puertorico.craigslist.org
vrg,616,http://virgin.craigslist.org,virgin,U.S. virgin islands,virgin islands,Territories    ,*US*,virgin.craigslist.org
abi,364,http://abilene.craigslist.org,abilene,abilene,abilene,Texas,*US*,abilene.craigslist.org
ama,269,http://amarillo.craigslist.org,amarillo,amarillo,amarillo,Texas,*US*,amarillo.craigslist.org
aus,15,http://austin.craigslist.org,austin,austin,austin,Texas,*US*,austin.craigslist.org
bpt,264,http://beaumont.craigslist.org,beaumont,beaumont / port arthur,beaumont / port arthur,Texas,*US*,beaumont.craigslist.org
bro,266,http://brownsville.craigslist.org,brownsville,brownsville,brownsville,Texas,*US*,brownsville.craigslist.org
cst,326,http://collegestation.craigslist.org,collegestation,college station,college station,Texas,*US*,collegestation.craigslist.org
crp,265,http://corpuschristi.craigslist.org,corpuschristi,corpus christi,corpus christi,Texas,*US*,corpuschristi.craigslist.org
dal,21,http://dallas.craigslist.org,dallas,dallas / fort worth,dallas / fort worth,Texas,*US*,dallas.craigslist.org
och,645,http://nacogdoches.craigslist.org,nacogdoches,deep east texas,deep east texas,Texas,*US*,nacogdoches.craigslist.org
drt,647,http://delrio.craigslist.org,delrio,del rio / eagle pass,del rio / eagle pass,Texas,*US*,delrio.craigslist.org
elp,132,http://elpaso.craigslist.org,elpaso,el paso,el paso,Texas,*US*,elpaso.craigslist.org
gls,470,http://galveston.craigslist.org,galveston,galveston,galveston,Texas,*US*,galveston.craigslist.org
hou,23,http://houston.craigslist.org,houston,houston,houston,Texas,*US*,houston.craigslist.org
grk,327,http://killeen.craigslist.org,killeen,killeen / temple / ft hood,killeen / temple / ft hood,Texas,*US*,killeen.craigslist.org
lrd,271,http://laredo.craigslist.org,laredo,laredo,laredo,Texas,*US*,laredo.craigslist.org
lbb,267,http://lubbock.craigslist.org,lubbock,lubbock,lubbock,Texas,*US*,lubbock.craigslist.org
mca,263,http://mcallen.craigslist.org,mcallen,mcallen / edinburg,mcallen / edinburg,Texas,*US*,mcallen.craigslist.org
odm,268,http://odessa.craigslist.org,odessa,odessa / midland,odessa / midland,Texas,*US*,odessa.craigslist.org
sjt,646,http://sanangelo.craigslist.org,sanangelo,san angelo,san angelo,Texas,*US*,sanangelo.craigslist.org
sat,53,http://sanantonio.craigslist.org,sanantonio,san antonio,san antonio,Texas,*US*,sanantonio.craigslist.org
tsu,449,http://sanmarcos.craigslist.org,sanmarcos,san marcos,san marcos,Texas,*US*,sanmarcos.craigslist.org
wtx,648,http://bigbend.craigslist.org,bigbend,southwest TX,southwest TX,Texas,*US*,bigbend.craigslist.org
txm,649,http://texoma.craigslist.org,texoma,texoma,texoma,Texas,*US*,texoma.craigslist.org
etx,308,http://easttexas.craigslist.org,easttexas,tyler / east TX,tyler / east TX,Texas,*US*,easttexas.craigslist.org
vtx,564,http://victoriatx.craigslist.org,victoriatx,victoria,"victoria, TX",Texas,*US*,victoriatx.craigslist.org
wco,270,http://waco.craigslist.org,waco,waco,waco,Texas,*US*,waco.craigslist.org
wtf,365,http://wichitafalls.craigslist.org,wichitafalls,wichita falls,wichita falls,Texas,*US*,wichitafalls.craigslist.org
lgu,448,http://logan.craigslist.org,logan,logan,logan,Utah,*US*,logan.craigslist.org
ogd,351,http://ogden.craigslist.org,ogden,ogden-clearfield,ogden-clearfield,Utah,*US*,ogden.craigslist.org
pvu,292,http://provo.craigslist.org,provo,provo / orem,provo / orem,Utah,*US*,provo.craigslist.org
slc,56,http://saltlakecity.craigslist.org,saltlakecity,salt lake city,salt lake city,Utah,*US*,saltlakecity.craigslist.org
stg,352,http://stgeorge.craigslist.org,stgeorge,st george,st george,Utah,*US*,stgeorge.craigslist.org
